pot_num,rank,train_energy_rmse,train_energy_atom_rmse,train_forces_rmse,val_energy_rmse,val_energy_atom_rmse,val_forces_rmse,train_time
1,[[1], [1]],0.27565585856708164,0.008614245580221301,0.19173623158898695,0.4439838823158646,0.013874496322370769,0.2771154613996937,55.27189851179719
2,[[1], [1]],0.2756558585535247,0.008614245579797647,0.19173623158978415,0.44398388229832003,0.013874496321822501,0.2771154614063061,77.84322641044855
3,[[1], [1]],0.2756558585518138,0.008614245579744181,0.19173623158983963,0.44398388229887964,0.013874496321839989,0.27711546140713156,45.28259556181729
4,[[1], [1]],0.2756558585887964,0.008614245580899887,0.19173623158731698,0.44398388231719843,0.013874496322412451,0.27711546141471044,49.62429179251194
5,[[1], [1]],0.27565585855417685,0.008614245579818026,0.19173623158975348,0.4439838822966325,0.013874496321769765,0.27711546140494064,64.89565258100629
1,[[2], [2]],0.27565585855350916,0.008614245579797161,0.19173623158978398,0.443983882298254,0.013874496321820437,0.2771154614063112,69.59889405593276
2,[[2], [2]],0.27565585857605296,0.008614245580501655,0.19173623159258268,0.4439838823310204,0.013874496322844387,0.27711546140933097,72.20204273797572
3,[[2], [2]],0.2756558593087971,0.00861424560339991,0.19173623156375866,0.44398388321146626,0.01387449635035832,0.2771154611106822,54.9776153806597
4,[[2], [2]],0.27565585855350117,0.008614245579796911,0.19173623158979422,0.44398388229782554,0.013874496321807048,0.2771154614063073,42.7415706794709
5,[[2], [2]],0.2756558585535252,0.008614245579797663,0.1917362315897841,0.44398388229835173,0.013874496321823492,0.27711546140630416,53.604921678081155
1,[[3], [3]],0.27565585855289737,0.008614245579778043,0.19173623158973901,0.4439838822989918,0.013874496321843495,0.27711546140660087,41.93204376287758
2,[[3], [3]],0.27565585855169866,0.008614245579740583,0.19173623158977587,0.44398388229903574,0.013874496321844867,0.2771154614064917,74.92484374903142
3,[[3], [3]],0.2756558585355547,0.008614245579236084,0.19173623159655692,0.44398388217286044,0.013874496317901889,0.2771154614032528,52.20946168154478
4,[[3], [3]],0.2756558585535156,0.008614245579797362,0.19173623158977754,0.4439838822982102,0.013874496321819068,0.27711546140629906,46.350641714408994
5,[[3], [3]],0.2756558585690387,0.008614245580282459,0.19173623158900008,0.4439838823249804,0.013874496322655637,0.27711546140893023,53.32748110964894
